model,ratio,amount,prompt,upscale 1080,status
Veo3-Fast,16:9,0.00,a,yes,Working
Veo3-Fast,16:9,0.00,a,yes,Done
Veo3-Fast,16:9,1.00,"My father passed away quite recently, and a week or so after he was gone I wanted to make a video of him, as a way of saying goodbye. I didn't know what song to choose, I could've picked a song that he liked, but Seasons just came to my mind, so I used this music for the video. I know the meaning of the lyrics are more on the romantic side, but I don't know, something about it just reminds me of my dad. Now, when I'm randomly listening to my playlist, and this music starts to play, I feel hugged by my dad, and always have to hold in the tears. Thank you so much for this song, Wave to Earth ❤",no,
Veo3-Fast,16:9,1.00,"My father passed away quite recently, and a week or so after he was gone I wanted to make a video of him, as a way of saying goodbye. I didn't know what song to choose, I could've picked a song that he liked, but Seasons just came to my mind, so I used this music for the video. I know the meaning of the lyrics are more on the romantic side, but I don't know, something about it just reminds me of my dad. Now, when I'm randomly listening to my playlist, and this music starts to play, I feel hugged by my dad, and always have to hold in the tears. Thank you so much for this song, Wave to Earth ❤",no,
Veo3-Fast,16:9,1.00,"My father passed away quite recently, and a week or so after he was gone I wanted to make a video of him, as a way of saying goodbye. I didn't know what song to choose, I could've picked a song that he liked, but Seasons just came to my mind, so I used this music for the video. I know the meaning of the lyrics are more on the romantic side, but I don't know, something about it just reminds me of my dad. Now, when I'm randomly listening to my playlist, and this music starts to play, I feel hugged by my dad, and always have to hold in the tears. Thank you so much for this song, Wave to Earth ❤",no,
Veo3-Fast,16:9,1.00,"My father passed away quite recently, and a week or so after he was gone I wanted to make a video of him, as a way of saying goodbye. I didn't know what song to choose, I could've picked a song that he liked, but Seasons just came to my mind, so I used this music for the video. I know the meaning of the lyrics are more on the romantic side, but I don't know, something about it just reminds me of my dad. Now, when I'm randomly listening to my playlist, and this music starts to play, I feel hugged by my dad, and always have to hold in the tears. Thank you so much for this song, Wave to Earth ❤",no,
Veo3-Fast,16:9,1.00,"My father passed away quite recently, and a week or so after he was gone I wanted to make a video of him, as a way of saying goodbye. I didn't know what song to choose, I could've picked a song that he liked, but Seasons just came to my mind, so I used this music for the video. I know the meaning of the lyrics are more on the romantic side, but I don't know, something about it just reminds me of my dad. Now, when I'm randomly listening to my playlist, and this music starts to play, I feel hugged by my dad, and always have to hold in the tears. Thank you so much for this song, Wave to Earth ❤",no,
Veo3-Fast,16:9,1.00,"My father passed away quite recently, and a week or so after he was gone I wanted to make a video of him, as a way of saying goodbye. I didn't know what song to choose, I could've picked a song that he liked, but Seasons just came to my mind, so I used this music for the video. I know the meaning of the lyrics are more on the romantic side, but I don't know, something about it just reminds me of my dad. Now, when I'm randomly listening to my playlist, and this music starts to play, I feel hugged by my dad, and always have to hold in the tears. Thank you so much for this song, Wave to Earth ❤",no,
Veo3-Fast,16:9,1.00,"My father passed away quite recently, and a week or so after he was gone I wanted to make a video of him, as a way of saying goodbye. I didn't know what song to choose, I could've picked a song that he liked, but Seasons just came to my mind, so I used this music for the video. I know the meaning of the lyrics are more on the romantic side, but I don't know, something about it just reminds me of my dad. Now, when I'm randomly listening to my playlist, and this music starts to play, I feel hugged by my dad, and always have to hold in the tears. Thank you so much for this song, Wave to Earth ❤",no,
Veo3-Fast,16:9,1,Abycsfdafasfa,no,Working
Veo3-Fast,16:9,1,cringe as fuck,no,Done
Veo3-Fast,16:9,1,i dont give a shit,no,Working
Veo3-Fast,16:9,1,siuuu,no,Working
Veo3-Fast,16:9,1,cringe,✖,Working
Veo3-Fast,16:9,0,siiuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu,✔,Working
Veo3-Fast,16:9,1,âcsd,✔,Working
Veo3-Fast,16:9,1,sdadasdadasd,✖,Working
Veo3-Fast,16:9,1,abc,✖,Working
Veo3-Fast,16:9,1,fsaflasfs,✔,Working
Veo3-Fast,16:9,1,cringe,✔,Working
Veo3-Fast,16:9,1,A cat sitting on a windowsill,✔,Working
Veo3-Fast,16:9,1,A futuristic cityscape at night,✔,Working
Veo3-Fast,16:9,1,An astronaut walking on Mars,✔,Working
Veo3-Fast,16:9,1,A robot playing the violin,✔,Working
Veo3-Fast,16:9,1,A serene beach with palm trees,✔,Working
Veo3-Fast,16:9,1,A dragon flying over a castle,✔,Working
Veo3-Fast,16:9,1,A child reading under a tree,✔,Working
Veo3-Fast,16:9,1,A realistic portrait of an old man,✔,Working
Veo3-Fast,16:9,1,A fantasy forest with glowing plants,✔,Working
Veo3-Fast,16:9,1,A steampunk airship in the sky,✔,Working
Veo3-Fast,16:9,1,A dog wearing sunglasses,✔,Working
Veo3-Fast,16:9,1,A sushi platter on a wooden table,✔,Working
Veo3-Fast,16:9,1,A mountain cabin in the snow,✔,Working
Veo3-Fast,16:9,1,A magic potion bottle on a shelf,✔,Working
Veo3-Fast,16:9,1,A painter working in a studio,✔,Working
Veo3-Fast,16:9,1,A haunted house at dusk,✔,Working
Veo3-Fast,16:9,1,A close-up of a honeybee,✔,Working
Veo3-Fast,16:9,1,A 3D render of a sports car,✔,Working
Veo3-Fast,16:9,1,A superhero landing pose,✔,Working
Veo3-Fast,16:9,1,A neon cyberpunk alley,✔,Working
Veo3-Fast,16:9,1,A field of sunflowers at sunset,✔,Working
Veo3-Fast,16:9,1,A violinist on stage,✔,Working
Veo3-Fast,16:9,1,A coffee shop interior,✔,Working
Veo3-Fast,16:9,1,A panda eating bamboo,✔,Working
Veo3-Fast,16:9,1,A futuristic soldier with armor,✔,Working
Veo3-Fast,16:9,1,A boat sailing on calm waters,✔,Working
Veo3-Fast,16:9,1,A dancer mid-twirl,✔,Working
Veo3-Fast,16:9,1,A castle on a cliff,✔,Working
Veo3-Fast,16:9,1,A minimal workspace setup,✔,Working
Veo3-Fast,16:9,1,A glowing jellyfish underwater,✔,Working
Veo3-Fast,16:9,1,A close-up of a butterfly wing,✔,Working
Veo3-Fast,16:9,1,A waterfall in a jungle,✔,Working
Veo3-Fast,16:9,1,A spaceship docking station,✔,Working
Veo3-Fast,16:9,1,A fantasy elf archer,✔,Working
Veo3-Fast,16:9,1,A sunset over a desert,✔,Working
Veo3-Fast,16:9,1,A train passing through mountains,✔,Working
Veo3-Fast,16:9,1,A cup of tea with steam,✔,Working
Veo3-Fast,16:9,1,A street in Tokyo at night,✔,Working
Veo3-Fast,16:9,1,A glowing crystal cave,✔,Working
Veo3-Fast,16:9,1,A group of penguins on ice,✔,Working
Veo3-Fast,16:9,1,A close-up of piano keys,✔,Working
Veo3-Fast,16:9,1,A magical library,✔,Working
Veo3-Fast,16:9,1,A knight in armor under rain,✔,Working
Veo3-Fast,16:9,1,A peaceful Zen garden,✔,Working
Veo3-Fast,16:9,1,A comic-style superhero,✔,Working
Veo3-Fast,16:9,1,A racing motorcycle,✔,Working
Veo3-Fast,16:9,1,A frog on a lily pad,✔,Working
Veo3-Fast,16:9,1,A futuristic drone design,✔,Working
Veo3-Fast,16:9,1,A campfire in the forest,✔,Working
Veo3-Fast,16:9,1,A pirate ship on stormy sea,✔,Working
Veo3-Fast,16:9,1,A glowing moon over mountains,✔,Working
Veo3-Fast,16:9,1,A glass of red wine,✔,Working
Veo3-Fast,16:9,1,A cybernetic eye,✔,Working
Veo3-Fast,16:9,1,A high-tech control room,✔,Working
Veo3-Fast,16:9,1,A medieval blacksmith at work,✔,Working
Veo3-Fast,16:9,1,A koi pond with fish,✔,Working
Veo3-Fast,16:9,1,A city skyline during sunset,✔,Working
Veo3-Fast,16:9,1,A path through autumn woods,✔,Working
Veo3-Fast,16:9,1,A mystical rune stone,✔,Working
Veo3-Fast,16:9,1,A detective in trench coat,✔,Working
Veo3-Fast,16:9,1,A carnival at night,✔,Working
Veo3-Fast,16:9,1,A polar bear on ice,✔,Working
Veo3-Fast,16:9,1,A garden full of tulips,✔,Working
Veo3-Fast,16:9,1,A ballerina tying shoes,✔,Working
Veo3-Fast,16:9,1,A magic spell in motion,✔,Working
Veo3-Fast,16:9,1,A mountain reflected in lake,✔,Working
Veo3-Fast,16:9,1,A jazz band playing,✔,Working
Veo3-Fast,16:9,1,A robot dog companion,✔,Working
Veo3-Fast,16:9,1,A time machine portal,✔,Working
Veo3-Fast,16:9,1,A lion roaring,✔,Working
Veo3-Fast,16:9,1,A ferris wheel at sunset,✔,Working
Veo3-Fast,16:9,1,A black hole in space,✔,Working
Veo3-Fast,16:9,1,A potion brewing in cauldron,✔,Working
Veo3-Fast,16:9,1,A camp tent under stars,✔,Working
Veo3-Fast,16:9,1,A wizard casting lightning,✔,Working
Veo3-Fast,16:9,1,A skateboarder mid-jump,✔,Working
Veo3-Fast,16:9,1,A rain-soaked street,✔,Working
Veo3-Fast,16:9,1,A close-up of a leaf,✔,Working
Veo3-Fast,16:9,1,A painter's palette,✔,Working
Veo3-Fast,16:9,1,A telescope under starry sky,✔,Working
Veo3-Fast,16:9,1,A mushroom village,✔,Working
Veo3-Fast,16:9,1,A crystal ball with smoke,✔,Working
Veo3-Fast,16:9,1,A ghost in old mansion,✔,Working
Veo3-Fast,16:9,1,A spaceship interior,✔,Working
Veo3-Fast,16:9,1,A unicorn in the clouds,✔,Working
Veo3-Fast,16:9,1,A scientist in lab coat,✔,Working
Veo3-Fast,16:9,1,A sunset over ocean,✔,Working
Veo3-Fast,16:9,1,A cowboy riding horse,✔,Working
Veo3-Fast,16:9,1,A samurai in bamboo forest,✔,Working
Veo3-Fast,16:9,1,A hot air balloon,✔,Working
Veo3-Fast,16:9,1,A wolf howling at moon,✔,Working
Veo3-Fast,16:9,1,A fashion runway,✔,Working
Veo3-Fast,16:9,1,A bakery shop window,✔,Working
Veo3-Fast,16:9,1,A squirrel with an acorn,✔,Working
Veo3-Fast,16:9,1,A tea ceremony setting,✔,Working
Veo3-Fast,16:9,1,A phoenix rising from fire,✔,Working
Veo3-Fast,16:9,1,A waterfall in Iceland,✔,Working
Veo3-Fast,16:9,1,A robot cleaning house,✔,Working
Veo3-Fast,16:9,1,A cozy reading nook,✔,Working
Veo3-Fast,16:9,1,A candyland fantasy world,✔,Working
Veo3-Fast,16:9,1,A map with compass and scroll,✔,Working
